store_name,category,website,website_domain,promo_url,priority_score,discovered_via,captured_at
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/sales,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/offer,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/promotion,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/clearance,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/deals,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/weekly-ad,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/weeklyad,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/catalog,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/leaflet,13,common_path,2026-02-14T09:46:39+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/outlet,13,common_path,2026-02-14T09:46:39+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/sale,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/sales,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/offer,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/promotion,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/clearance,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/deals,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/weekly-ad,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/weeklyad,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/catalog,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/leaflet,13,common_path,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/outlet,13,common_path,2026-02-14T09:46:47+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/sale,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/sales,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/offer,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/promotion,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/clearance,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/deals,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/weekly-ad,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/weeklyad,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/catalog,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/leaflet,13,common_path,2026-02-14T09:46:53+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/outlet,13,common_path,2026-02-14T09:46:53+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/sale,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/sales,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/offer,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/promotion,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/clearance,13,common_path,2026-02-14T09:46:59+00:00
